year,code,temp_change,CO2,cardio_deaths
1991,AFG,0.000890821,14436271.0,266.2987247
1992,AFG,0.000890587,13517736.0,224.4471964
1993,AFG,0.0008897,12913293.0,278.3936988
1996,AFG,0.000888443,16127630.0,315.4460807
2004,AFG,0.000936103,20214652.0,332.2409175
1990,ALB,0.000324586,11194957.0,3.194097747
1991,ALB,0.000329864,9561107.0,2.629153212
1992,ALB,0.000332257,6990957.0,4.802657817
1993,ALB,0.000334675,6724992.0,5.329631764
1994,ALB,0.000338129,6549781.0,9.268163956
1995,ALB,0.000341349,6687199.0,2.848671684
1996,ALB,0.000343761,6315625.0,3.534206311
1997,ALB,0.000345217,5574695.0,3.687939338
1998,ALB,0.000345957,5698569.5,13.76315523
1999,ALB,0.000347202,6789047.0,7.206045688
2000,ALB,0.000348414,6823153.5,8.502428732
2001,ALB,0.000349573,6972113.0,8.144809454
2002,ALB,0.000350051,7476225.0,6.061097258
2003,ALB,0.000350366,8287149.0,17.70735967
2004,ALB,0.000350973,7693972.5,5.83177327
2005,ALB,0.00035231,9062968.0,5.667403348
2006,ALB,0.00035296,8137700.0,8.525299005
2007,ALB,0.000353505,8959703.0,18.46640004
2008,ALB,0.000354134,9551439.0,10.63742003
2009,ALB,0.000354061,8723390.0,8.638260089
2010,ALB,0.000355092,8909913.0,8.7724614
2011,ALB,0.00035606,9432715.0,11.82731494
2012,ALB,0.000358526,9161981.0,22.92322166
2013,ALB,0.000360874,9441338.0,13.68577861
2014,ALB,0.000362578,10226878.0,5.762516848
2015,ALB,0.000363961,9166668.0,26.99756164
2016,ALB,0.000365484,8819070.0,14.12017166
2017,ALB,0.000367793,9530445.0,33.43134521
2018,ALB,0.000370129,8901102.0,11.11949538
2019,ALB,0.000371841,8549947.0,21.28449914
2020,ALB,0.00037311,8438481.0,16.42604499
2021,ALB,0.00037429,8077409.0,35.0187646
1990,DZA,0.003160559,160500020.0,345.8191219
1992,DZA,0.003387099,165225490.0,256.9978715
2002,AND,7.2e-06,689972.25,4.6e-08
2009,AND,9.54e-06,658462.0,0.000103251
2010,AND,9.83e-06,656511.8,1.76e-05
2011,AND,1.01e-05,621666.44,6.96e-05
2012,AND,1.03e-05,616414.1,0.000234282
2013,AND,1.06e-05,604878.44,5.13e-05
2014,AND,1.08e-05,587470.0,4e-05
2015,AND,1.1e-05,589425.9,0.00039562
2016,AND,1.13e-05,592965.06,0.000105519
2017,AND,1.15e-05,589737.4,0.000200611
2018,AND,1.17e-05,618268.0,0.00013117
2019,AND,1.2e-05,606122.0,0.001183672
2020,AND,1.21e-05,492249.9,8.76e-05
2021,AND,1.23e-05,484959.84,0.000133827
1990,ATG,6.83e-06,323582.44,0.143594868
1991,ATG,6.98e-06,332038.4,0.043331302
1992,ATG,7.13e-06,332699.72,0.073300399
1993,ATG,7.29e-06,341235.1,0.09020497
1994,ATG,7.46e-06,354140.88,0.020191928
1995,ATG,7.63e-06,359823.44,0.203747235
1996,ATG,7.8e-06,379393.72,0.035953257
1998,ATG,8.18e-06,415572.06,0.353840331
1999,ATG,8.36e-06,438830.1,0.164191043
2000,ATG,8.55e-06,449746.47,0.079488004
2001,ATG,8.74e-06,465138.3,0.128521574
2002,ATG,8.94e-06,504014.22,0.115929638
2003,ATG,9.16e-06,528603.0,0.123269255
2004,ATG,9.39e-06,550908.1,0.08738622
2005,ATG,9.63e-06,580655.8,0.33512135
2006,ATG,9.89e-06,619847.6,0.191406695
2007,ATG,1.02e-05,641619.56,0.160496584
2008,ATG,1.04e-05,648046.25,0.093612107
2009,ATG,1.07e-05,661460.06,0.147906846
2010,ATG,1.1e-05,630649.0,0.314826067
2011,ATG,1.12e-05,626601.75,0.183603268
2012,ATG,1.14e-05,639347.9,0.152245018
2013,ATG,1.17e-05,647833.2,0.08320449
