iter	Passed	Remaining
0	5	5663
1	10	5158
2	15	5051
3	20	5052
4	25	4976
5	32	5392
6	38	5409
7	42	5300
8	48	5323
9	53	5271
10	58	5244
11	65	5358
12	69	5299
13	74	5256
14	80	5285
15	85	5266
16	90	5233
17	96	5251
18	101	5229
19	105	5193
20	111	5175
21	117	5205
22	121	5174
23	126	5144
24	135	5266
25	139	5232
26	145	5255
27	150	5221
28	154	5186
29	159	5170
30	164	5155
31	171	5176
32	176	5175
33	181	5168
34	186	5154
35	191	5138
36	198	5155
37	202	5131
38	207	5114
39	212	5102
40	217	5078
41	221	5057
42	231	5150
43	236	5129
44	245	5199
45	249	5169
46	253	5149
47	259	5137
48	263	5121
49	269	5113
50	279	5200
51	284	5185
52	290	5190
53	295	5173
54	299	5153
55	304	5137
56	309	5121
57	314	5104
58	323	5162
59	328	5142
60	333	5133
61	338	5119
62	343	5102
63	347	5084
64	352	5071
65	357	5056
66	362	5045
67	370	5082
68	375	5066
69	380	5052
70	385	5045
71	390	5037
72	395	5022
73	403	5047
74	408	5033
75	412	5021
76	421	5058
77	426	5041
78	431	5028
79	436	5021
80	441	5006
81	446	4993
82	453	5010
83	458	4995
84	462	4981
85	469	4994
86	476	5005
87	483	5015
88	488	5001
89	493	4987
90	501	5013
91	506	4997
92	510	4982
93	516	4977
94	521	4965
95	526	4954
96	532	4956
97	537	4944
98	541	4930
99	550	4957
100	555	4948
101	572	5039
102	577	5028
103	582	5017
104	586	5003
105	592	4994
106	597	4988
107	602	4974
108	607	4968
109	613	4960
110	617	4946
111	621	4930
112	626	4918
113	631	4906
114	636	4895
115	640	4883
116	645	4871
117	649	4854
118	653	4836
119	658	4826
120	662	4815
121	667	4800
122	672	4796
123	679	4800
124	684	4788
125	690	4788
126	694	4775
127	698	4759
128	703	4747
129	707	4737
130	711	4720
131	715	4703
132	719	4689
133	724	4683
134	728	4670
135	732	4655
136	738	4651
137	748	4675
138	753	4668
139	758	4657
140	761	4641
141	765	4625
142	770	4617
143	775	4612
144	780	4602
145	785	4595
146	789	4580
147	792	4562
148	796	4549
149	802	4549
150	806	4535
151	810	4521
152	814	4510
153	819	4499
154	823	4488
155	827	4474
156	832	4467
157	837	4462
158	841	4453
159	846	4446
160	851	4436
161	855	4423
162	858	4409
163	863	4400
164	868	4396
165	873	4390
166	880	4390
167	883	4377
168	889	4373
169	894	4367
170	899	4360
171	904	4352
172	909	4345
173	914	4340
174	918	4332
175	924	4326
176	930	4326
177	935	4318
178	940	4312
179	947	4315
180	952	4309
181	959	4313
182	965	4312
183	971	4307
184	977	4308
185	982	4299
186	986	4287
187	991	4283
188	995	4272
189	999	4261
190	1003	4249
191	1009	4247
192	1013	4236
193	1017	4226
194	1021	4217
195	1025	4207
196	1029	4196
197	1033	4185
198	1038	4181
199	1042	4170
200	1046	4158
201	1050	4150
202	1055	4145
203	1059	4134
204	1063	4124
205	1067	4112
206	1071	4105
207	1078	4105
208	1082	4095
209	1087	4091
210	1091	4080
211	1095	4071
212	1099	4061
213	1103	4054
214	1107	4044
215	1111	4034
216	1115	4026
217	1120	4017
218	1124	4008
219	1127	3997
220	1130	3986
221	1135	3979
222	1139	3971
223	1142	3958
224	1145	3946
225	1150	3938
226	1152	3925
227	1155	3913
228	1158	3900
229	1161	3888
230	1165	3878
231	1169	3869
232	1172	3861
233	1175	3849
234	1179	3840
235	1182	3829
236	1185	3817
237	1188	3804
238	1191	3792
239	1194	3782
240	1198	3774
241	1201	3762
242	1204	3752
243	1207	3741
244	1212	3734
245	1215	3724
246	1218	3713
247	1220	3701
248	1223	3690
249	1228	3686
250	1232	3677
251	1235	3667
252	1238	3655
253	1241	3647
254	1245	3639
255	1248	3628
256	1251	3617
257	1254	3606
258	1258	3600
259	1263	3595
260	1267	3589
261	1271	3581
262	1276	3578
263	1280	3570
264	1284	3562
265	1288	3555
266	1293	3550
267	1297	3542
268	1300	3535
269	1306	3531
270	1310	3524
271	1314	3517
272	1317	3509
273	1322	3505
274	1326	3497
275	1331	3491
276	1334	3483
277	1339	3479
278	1343	3471
279	1347	3465
280	1353	3462
281	1356	3452
282	1358	3442
283	1361	3432
284	1364	3422
285	1367	3414
286	1371	3407
287	1375	3401
288	1378	3391
289	1381	3381
290	1385	3375
291	1388	3366
292	1391	3356
293	1393	3346
294	1396	3337
295	1401	3332
296	1404	3325
297	1408	3317
298	1411	3310
299	1417	3308
300	1420	3299
301	1423	3290
302	1426	3281
303	1430	3274
304	1434	3267
305	1436	3258
306	1439	3249
307	1442	3240
308	1446	3234
309	1449	3226
310	1452	3217
311	1454	3208
312	1457	3199
313	1461	3192
314	1465	3186
315	1469	3179
316	1472	3172
317	1475	3164
318	1479	3158
319	1482	3149
320	1484	3141
321	1487	3132
322	1490	3124
323	1495	3119
324	1497	3111
325	1500	3102
326	1503	3093
327	1505	3085
328	1510	3081
329	1513	3072
330	1516	3064
331	1519	3056
332	1522	3048
333	1526	3043
334	1528	3034
335	1531	3026
336	1534	3018
337	1537	3012
338	1541	3006
339	1544	2998
340	1548	2991
341	1551	2984
342	1554	2978
343	1558	2972
344	1562	2966
345	1565	2959
346	1569	2952
347	1572	2946
348	1575	2939
349	1578	2931
350	1581	2923
351	1584	2916
352	1588	2911
353	1591	2903
354	1594	2896
355	1596	2888
356	1600	2882
357	1604	2877
358	1607	2869
359	1609	2861
360	1612	2854
361	1615	2847
362	1619	2842
363	1622	2834
364	1624	2826
365	1627	2819
366	1630	2812
367	1634	2806
368	1637	2799
369	1639	2792
370	1642	2784
371	1645	2778
372	1650	2773
373	1652	2766
374	1655	2759
375	1658	2752
376	1662	2746
377	1666	2741
378	1669	2735
379	1673	2730
380	1676	2724
381	1681	2719
382	1683	2712
383	1686	2705
384	1689	2699
385	1693	2693
386	1698	2690
387	1702	2684
388	1707	2681
389	1714	2681
390	1718	2676
391	1721	2670
392	1726	2666
393	1729	2659
394	1732	2653
395	1734	2646
396	1737	2639
397	1742	2635
398	1745	2628
399	1747	2621
400	1751	2616
401	1753	2609
402	1757	2603
403	1761	2597
404	1765	2593
405	1768	2587
406	1771	2581
407	1775	2576
408	1778	2569
409	1781	2562
410	1783	2556
411	1786	2550
412	1790	2545
413	1793	2539
414	1796	2532
415	1799	2526
416	1802	2519
417	1806	2515
418	1809	2509
419	1812	2503
420	1815	2496
421	1818	2491
422	1822	2485
423	1825	2480
424	1828	2473
425	1831	2467
426	1835	2463
427	1838	2457
428	1841	2451
429	1844	2444
430	1847	2438
431	1850	2432
432	1854	2428
433	1857	2421
434	1859	2415
435	1862	2409
436	1866	2404
437	1870	2399
438	1873	2394
439	1876	2388
440	1879	2382
441	1885	2380
442	1897	2385
443	1902	2382
444	1909	2381
445	1916	2380
446	1925	2382
447	1930	2378
448	1936	2375
449	1943	2375
450	1948	2372
451	1977	2397
452	1982	2393
453	1989	2392
454	1994	2388
455	2013	2401
456	2025	2406
457	2030	2402
458	2060	2428
459	2067	2427
460	2073	2423
461	2079	2421
462	2084	2418
463	2090	2414
464	2095	2410
465	2102	2408
466	2108	2405
467	2112	2401
468	2123	2403
469	2128	2400
470	2137	2401
471	2142	2397
472	2150	2396
473	2155	2392
474	2160	2387
475	2166	2384
476	2177	2387
477	2184	2386
478	2189	2381
479	2199	2382
480	2203	2378
481	2208	2373
482	2217	2373
483	2223	2369
484	2227	2365
485	2232	2360
486	2235	2355
487	2240	2350
488	2245	2346
489	2249	2341
490	2253	2336
491	2257	2330
492	2262	2326
493	2266	2321
494	2270	2316
495	2274	2311
496	2278	2306
497	2283	2302
498	2287	2296
499	2292	2292
500	2296	2287
501	2300	2282
502	2303	2276
503	2309	2272
504	2313	2267
505	2317	2262
506	2321	2257
507	2326	2252
508	2329	2247
509	2332	2241
510	2337	2236
511	2342	2232
512	2346	2227
513	2351	2223
514	2358	2220
515	2361	2215
